gvkey,company_name,cluster,proximity_score,trends_score,relative_score,overall_score
214700,STADA ARZNEIMITTEL AG,1,23.77214090657994,96.06716048247034,49.560758501024836,9.508856362631976
214759,HEIDELBERGER DRUCKMASCHINEN,2,32.194522777844455,92.64057995889769,46.6617613824717,12.877809111137783
216524,ENBW ENERGIE BADEN,2,24.962660831802932,75.92200951172985,54.8570349783219,9.985064332721173
218000,JENOPTIK AG,2,27.385248172897292,92.98211797175715,51.4408032751653,10.954099269158917
220295,ELRINGKLINGER AG,1,42.68395398472457,99.80106434130396,48.61922240042993,17.073581593889827
220301,MERCK KGAA,2,39.303226734568916,93.00559877344523,51.96625661922225,15.721290693827568
220303,AURUBIS AG,2,54.23545825918136,87.93962195438398,49.89193413003733,21.694183303672546
220307,PFALZWERKE AG,2,46.59943569609281,91.66701094521967,46.359390186077704,18.639774278437127
221244,ADIDAS AG,2,39.353093580521765,88.81177119785936,50.24679896192492,15.741237432208706
221614,DEUTSCHE BAHN AG,2,12.632402263341124,28.804683023267287,48.913770129411496,5.05296090533645
221616,DEUTSCHE TELEKOM,3,22.86384538403056,45.8318552952692,54.95343361947357,9.145538153612225
222247,SOFTWARE GMBH,1,31.91154063376323,95.50728531638667,48.54141464525162,12.764616253505293
222340,DUERR AG,1,54.075323843159836,99.32104900380936,49.00678865789422,21.630129537263937
223089,HORNBACH-BAUMARKT AG,2,37.97269012128604,96.52213402673144,49.515733695537705,15.189076048514417
225236,UNITED INTERNET AG,1,35.304839661541926,95.00177841781637,50.92379080528496,14.121935864616772
231016,MORPHOSYS AG,1,22.09276296969277,92.39118478550942,49.83715834892546,8.837105187877109
232623,EVOTEC SE,2,26.26731628996964,90.80279046045156,51.6570423904994,10.506926515987857
233025,CANCOM SE,1,30.66890387197571,98.97226255244324,47.819596758854914,12.267561548790285
234919,CTS EVENTIM AG & CO KGAA,2,35.86648315372772,95.48611852721743,49.98088364553577,14.346593261491089
238136,BECHTLE AG,1,27.852494665744587,96.8291047379094,49.4611775856643,11.140997866297836
238442,CARL ZEISS MEDITEC AG,2,40.49178768605061,94.75361511536373,49.94237762632971,16.196715074420243
241456,DEUTSCHE POST AG,2,12.218806323196114,42.23045721185147,56.57855759666137,4.887522529278446
241840,SCHULER AG,1,15.386896918609208,98.82710604840759,46.25467349353639,6.154758767443684
242158,WIRECARD AG,1,9.094746129796954,79.62931638191995,55.54146239478284,3.637898451918782
244394,MVV ENERGIE AG,2,52.73662846650466,91.69623378015581,48.59548135002143,21.094651386601868
244398,TAKKT AG,1,27.259283402505407,98.0052281162895,49.37191895633351,10.903713361002163
245628,NORDEX SE,1,24.46263594619272,96.08176913529991,48.674403860480744,9.785054378477088
245839,FRAPORT AG,2,38.724716226397184,83.66567312883502,49.619836852183894,15.489886490558874
248166,MAINOVA AG,2,48.44589915411483,89.27009970394543,48.15848730649459,19.37835966164593
269104,BAUER AG,2,50.65899733359998,92.0116173867524,47.414048640024646,20.263598933439994
269835,BRENNTAG SE,2,48.137822986059895,99.25663789403804,48.66013510592893,19.255129194423958
270249,DIEBOLD NIXDORF AG,2,24.88999162386644,94.15512210569308,49.00776824901694,9.955996649546577
271763,LANXESS AG,2,31.806920139909217,91.09650825489422,47.35050743712823,12.722768055963687
273099,MTU AERO ENGINES AG,2,46.44984364960686,95.36191409604898,48.81672334259174,18.579937459842746
276585,WACKER CHEMIE AG,2,46.245002793592526,96.07390393240594,47.97831853738447,18.49800111743701
278310,KLOCKNER & CO SE,2,33.67233954218486,93.32643588708133,46.45559438067668,13.468935816873945
281772,SYMRISE AG,1,32.72599845505689,97.64415753282233,48.3072800929612,13.090399382022756
284636,WACKER NEUSON SE,2,41.56503773432566,94.07892595767997,46.81692726370223,16.626015093730263
284944,GERRESHEIMER GROUP,1,34.42669379905668,95.54319848575142,47.312721343807006,13.770677519622673
285715,SAF HOLLAND SE,2,39.127413773215046,94.14295177399215,47.810875412951134,15.650965509286019
287162,HAMBURGER HAFEN UND LOGISTIK,1,34.273081392944476,96.47157907764351,47.91836683178739,13.709232557177792
289333,SMA SOLAR TECHNOLOGY AG,2,37.51727830077299,91.46886884574691,49.995051002487635,15.006911320309198
295079,STROEER SE & CO KGAA,1,26.849841861547258,98.4902411114038,52.31994384197012,10.739936744618904
295421,EVONIK INDUSTRIES AG,1,45.70612052451784,96.31924052646713,48.73001263852407,18.28244820980714
297185,KION GROUP AG,2,29.307151486832744,93.45188310561052,50.39756716389612,11.722860594733099
