gvkey,conm,cluster,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
214759,HEIDELBERGER DRUCKMASCHINEN,0,49.392493680696404,50.747863367948334,94.756522258647,85.57257875401719,94.30168884178501,99.01418115269834,47.64657199064487,38.46382802126995
216524,ENBW ENERGIE BADEN,0,47.792959630532664,57.7370284888749,97.86807708754152,88.85700046326184,68.30102927434835,82.99984117869269,54.431855232911644,39.55028959631423
218000,JENOPTIK AG,5,61.91413272425266,66.81843912451497,86.27593777811701,98.52225896987467,94.72171462005791,95.01049090623303,49.513489531429876,47.98156681159153
220295,ELRINGKLINGER AG,2,65.43609120469924,71.17149281332445,88.45786627807854,97.51064610960898,86.43713546630877,94.15506455878328,50.58946038553762,50.15979965550548
220301,MERCK KGAA,4,56.8831162462028,69.85942985005964,88.65467214742509,84.39778546798229,77.20363499921086,81.28653365827822,47.63632736251146,45.16491101529128
220303,AURUBIS AG,0,50.98860792225002,57.559113273183094,78.28425702766685,85.2068786962694,85.31537455138499,84.92553565978403,47.72834715609634,40.427953693163566
220307,PFALZWERKE AG,2,71.21986180693214,76.96488159001207,97.01798280407131,94.86535916913522,87.47072886714989,92.45252857875433,51.505320084783776,53.3674569576888
221244,ADIDAS AG,5,68.84598549045661,77.53141244684916,79.83677729513985,96.45496143281146,95.11336620095777,90.558126486103,49.6989421416777,52.690172828833624
221614,DEUTSCHE BAHN AG,2,15.71976527813309,61.2514958720518,73.31440360748212,77.59969235724768,17.63275696218803,90.1331138549788,44.22147422709638,26.298174521388365
221616,DEUTSCHE TELEKOM,4,56.265892315715185,60.99986118714562,93.14343714451631,87.88239951997177,89.63017383941234,97.03167659016125,49.25684873695531,43.49456911571237
222247,SOFTWARE GMBH,5,35.28228593309238,46.22119484392169,56.717819800278754,95.59106708999641,70.19645036365067,93.64555249865109,46.712271174168244,32.916260051020934
222340,DUERR AG,2,59.81745993993771,67.63769651882723,84.92779026453738,90.2271069360934,77.99881473050858,95.96984570452355,53.743625746195484,46.477233973349875
223089,HORNBACH-BAUMARKT AG,0,72.59097530482327,74.29403834565626,99.080089722225,97.8725258890003,98.23524393626954,91.05225966308194,49.22376453327694,53.6824503799606
225236,UNITED INTERNET AG,0,55.49129309627033,72.62142176458198,85.64206727339007,94.56781606235052,99.76074237956108,90.11918423341639,46.71085557821494,46.17758319765959
231016,MORPHOSYS AG,3,0.3154992012781657,1.2084895974687806,54.18915651095403,92.70985619620743,3.4904492197307855,24.435923067327593,45.78530785034532,9.638883219625766
232623,EVOTEC SE,2,48.614287730006595,55.968443606583286,91.86434374953646,98.92758579136023,66.86780306085144,88.85907956399987,44.400051585341345,40.53216239245532
233025,CANCOM SE,0,55.590904025239276,68.41159127974309,91.68108311278105,87.89093738002406,78.27745717194621,89.80646993584588,46.68467625995558,44.707773604046736
234919,CTS EVENTIM AG & CO KGAA,5,42.93056145419348,47.1823517196235,72.11078778685602,92.64407534972554,87.35368515999428,89.257335336936,52.72724522570726,35.87310246057465
238136,BECHTLE AG,0,62.23915562855385,67.65499968581832,94.27653411775285,88.58635143350338,84.98718887978268,88.13625786622296,50.87379917778977,47.285297331935546
238442,CARL ZEISS MEDITEC AG,5,73.67837763139221,78.95962008591087,90.34695478658541,95.07628690104765,95.55007745564632,93.9240304334159,47.46396483461825,54.770903759843826
241456,DEUTSCHE POST AG,0,59.42538605019742,64.93115850512086,82.38775684757672,95.74262119099475,86.69599249556066,93.21604146015466,50.015264710618496,46.33064824020262
241840,SCHULER AG,2,13.933911821742347,23.453293141008615,92.42135534485048,97.30412804045184,74.67968762921903,97.1636834749988,44.2802046458184,19.99463616094385
242158,WIRECARD AG,4,48.042525648787695,65.75891752639566,74.15242069724864,91.08027843351077,61.129178931821656,89.95711173221034,51.76660797793521,41.476821608145286
244394,MVV ENERGIE AG,0,72.8236099158163,75.18703216399787,90.26029102015556,93.98862472837172,95.18980147974156,98.19511815445846,47.15929619644544,53.56571287196327
244398,TAKKT AG,2,48.124967633525294,56.76237051081443,86.16141215197435,96.83283049157866,73.98819505246531,86.78975462532063,51.95872955074053,40.285744204730875
245628,NORDEX SE,2,52.3087655051257,67.91553108819647,75.9610017341042,98.73022762999206,85.45902103737639,84.8814079737959,52.9899104760644,44.37963518268878
245839,FRAPORT AG,0,60.299637357279536,69.30194401610075,95.48105525481452,82.22828158537682,85.96421333730953,97.41200555822378,50.283009142017576,46.20307190466964
248166,MAINOVA AG,0,63.5716446634548,69.15080739041444,85.18996326607048,90.16096633972829,87.39999949207026,89.43728651100848,45.606634023790946,48.27491597743764
269104,BAUER AG,0,63.05998422487728,65.08890770904986,89.93053847721666,90.54687422105714,92.80176566584134,96.65249835082189,46.69955213535941,47.296462653866605
269835,BRENNTAG SE,0,74.34364795409927,76.87817988682792,99.38983022782656,92.0905373000198,97.56671098774856,89.92699704147353,50.11086243140091,54.32214888900727
270249,DIEBOLD NIXDORF AG,0,60.68869698454043,66.10973947464166,82.31654597349461,84.6870348750611,97.24365106366446,94.76672859498325,50.06756682720922,45.966130176250616
271763,LANXESS AG,2,72.48197278952931,78.3154119224246,93.01033956074053,97.11157120152235,87.51991400735764,89.61008011385447,50.560936659720156,54.367028620448885
273099,MTU AERO ENGINES AG,0,63.927500339469404,74.17900553003093,91.68174084034841,93.34046833955365,97.68585577505468,98.92888694420299,50.28676286155826,49.74084807574931
