company_name,static_score,dynamic_score,combined_score,score_change_static_to_dynamic,score_change_static_to_combined,total_score_change,abs_total_change,pattern
INFINEON TECHNOLOGIES AG,44.559386298820485,31.288257106174377,55.84325826785875,-13.271129192646107,11.283871969038266,11.283871969038266,11.283871969038266,Mixed
DUERR AG,52.669109529053884,54.075323843159836,59.81745993993771,1.4062143141059522,7.148350410883829,7.148350410883829,7.148350410883829,Mixed
ELRINGKLINGER AG,45.59927794611186,42.68395398472457,65.43609120469924,-2.915323961387294,19.836813258587377,19.836813258587377,19.836813258587377,Mixed
MERCK KGAA,34.20755412615139,39.303226734568916,56.8831162462028,5.095672608417523,22.67556212005141,22.67556212005141,22.67556212005141,Improving Trend
AURUBIS AG,18.89496450278001,54.23545825918136,50.98860792225002,35.340493756401344,32.09364341947001,32.09364341947001,32.09364341947001,Improving Trend
PFALZWERKE AG,63.160337188337614,46.59943569609281,71.21986180693214,-16.560901492244803,8.05952461859453,8.05952461859453,8.05952461859453,Mixed
HENSOLDT AG,49.12020122300545,23.55852602062999,71.41028147093267,-25.56167520237546,22.29008024792722,22.29008024792722,22.29008024792722,Improving Trend
OSRAM LICHT AG,0.16081266688411308,4.3588588295883985,45.25687673359863,4.198046162704285,45.09606406671452,45.09606406671452,45.09606406671452,Improving Trend
SCOUT24 SE,16.109679405109304,35.7182926806598,27.661185636226023,19.608613275550496,11.551506231116718,11.551506231116718,11.551506231116718,Challenged
ALTANA AG,61.72945410774927,37.768637817362986,50.55586960314316,-23.960816290386283,-11.173584504606112,-11.173584504606112,11.173584504606112,Mixed
STROEER SE & CO KGAA,44.87034070612263,26.849841861547258,62.340399152167535,-18.020498844575375,17.470058446044902,17.470058446044902,17.470058446044902,Mixed
BAYWA AG,13.324587861454138,37.203078098078386,2.0180800129364993,23.87849023662425,-11.306507848517638,-11.306507848517638,11.306507848517638,Challenged
MVV ENERGIE AG,53.16494325324085,52.73662846650466,72.8236099158163,-0.4283147867361876,19.658666662575456,19.658666662575456,19.658666662575456,Mixed
STADA ARZNEIMITTEL AG,39.5929453142315,23.77214090657994,62.98825609831371,-15.820804407651561,23.395310784082213,23.395310784082213,23.395310784082213,Improving Trend
SYMRISE AG,52.74503917712398,32.72599845505689,68.56910405660732,-20.01904072206709,15.824064879483338,15.824064879483338,15.824064879483338,Mixed
TAKKT AG,38.08129913166177,27.259283402505407,48.124967633525294,-10.822015729156366,10.043668501863522,10.043668501863522,10.043668501863522,Mixed
EVOTEC SE,26.759239107423937,26.26731628996964,48.614287730006595,-0.49192281745429867,21.855048622582657,21.855048622582657,21.855048622582657,Improving Trend
SCHULER AG,20.045819921418605,15.386896918609208,13.933911821742347,-4.658923002809397,-6.111908099676258,-6.111908099676258,6.111908099676258,Challenged
ALLANE SE,19.62445939700868,26.157415407496494,19.451580635940743,6.5329560104878155,-0.17287876106793476,-0.17287876106793476,0.17287876106793476,Challenged
BAYERISCHE MOTOREN WERKE AKT,54.911984757858846,22.81104482146524,61.93443405842045,-32.1009399363936,7.022449300561604,7.022449300561604,7.022449300561604,Mixed
SIEMENS ENERGY AG,30.631783419219786,31.69988316042967,64.34591320598224,1.0680997412098847,33.714129786762456,33.714129786762456,33.714129786762456,Improving Trend
STABILUS SE,66.12134597787903,27.757160516482294,68.61164443054848,-38.36418546139674,2.4902984526694496,2.4902984526694496,2.4902984526694496,Mixed
AXEL SPRINGER SE,51.97474675763408,32.65609603516838,63.5002746697014,-19.318650722465698,11.525527912067318,11.525527912067318,11.525527912067318,Mixed
