gvkey,conm,cluster,cluster_name,static_score,dynamic_score,combined_score,cluster_name_enhanced,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend
225236,UNITED INTERNET AG,0,Upper-Mid,59.31911103585513,18.386293821550677,34.759420707272454,Upper-Mid (Challenged),5.368135231849235,-0.9952006244396074,10.123339715407322,41.77832662841635,2.836431098722648,1.0572405568121908,0.7105895177555144,2.4963590042514014,-0.9241277544835859
102218,DRAEGERWERK AG,0,Upper-Mid,46.69536402644741,26.767021436575156,34.738358472524055,Upper-Mid (Challenged),5.306107935030152,8.103963782040841,4.869381289158914,48.854690763242836,3.1864972944750325,1.926212234869931,0.18690551411914144,2.0150701885809204,-0.11521955217883877
132740,INFINEON TECHNOLOGIES AG,0,Upper-Mid,36.030205537133696,33.25575802318651,34.36553702876538,Upper-Mid (Challenged),10.346031635182792,10.337417968523143,19.81277164827817,54.79772651287195,2.3269809428284853,1.9030314807617568,0.26685637958069575,1.663220860677159,0.2870969951901389
100312,RHEINMETALL AG,0,Upper-Mid,48.84596985419714,24.433213410156554,34.19831598777279,Upper-Mid (Challenged),9.899609592861127,19.85185185185185,14.562608963183262,51.881858270946566,10.132294123679623,1.2136537894426422,0.46197530864197534,3.541728395061728,0.5783965084088859
332311,TRATON SE,0,Upper-Mid,51.453203526774104,22.515467091776824,34.09056166577574,Upper-Mid (Challenged),6.895815216562161,15.719251037111784,9.521201525077412,29.191329808522738,1.2154277168074485,0.9803955288048152,0.8975782038345106,3.674571140262361,0.41013160674206717
202305,FRESENIUS SE & CO KGAA,0,Upper-Mid,59.30142364578208,16.577544203066548,33.667095980152766,Upper-Mid (Challenged),4.09873708381171,5.332105209292806,8.17569733889067,29.835570008702422,6.980259240599093,1.2705072705072704,0.552911677412752,2.228533415208269,-0.6014501900591713
214759,HEIDELBERGER DRUCKMASCHINEN,0,Upper-Mid,48.36787165999733,23.322587510257396,33.340701170153366,Upper-Mid (Challenged),3.265869365225391,0.9157509157509158,3.0682800345721692,54.451166810717375,1.08038029386344,1.3329425556858148,0.07875457875457875,3.9816849816849818,-0.11931265478385034
238136,BECHTLE AG,0,Upper-Mid,38.62835874768362,29.674587949457788,33.256096268748124,Upper-Mid (Challenged),8.330651905813248,12.843574968897892,5.57152331470804,20.278072657991213,7.445333331641758,1.64043992916163,0.29755535861332205,2.2063301814437866,-0.17461064268961451
354519,DR ING  H C F PORSCHE AG,0,Upper-Mid,55.27677361513486,18.559291465476203,33.246284325339666,Upper-Mid (Challenged),10.6712500233527,15.588248057978562,14.250430357009206,33.60277424344485,10.425866327370706,1.414487903506937,0.3107234301089268,2.322918022826889,0.4610142394229677
101120,AUDI AG,0,Upper-Mid,48.22642010861537,22.445898476304404,32.75810712922879,Upper-Mid (Challenged),8.55174479556687,18.499364638434944,8.99019537679811,16.158305303084518,11.28462033922565,1.5675553732567677,0.0,2.1704837613404653,-0.17659246329481892
103487,SAP SE,0,Upper-Mid,23.55572967798743,38.82022623987322,32.71442761511891,Upper-Mid (Challenged),10.984592968349478,6.875000000000001,23.82373595505618,76.9311797752809,12.941830524344569,1.1217044918496777,0.14788732394366197,1.631205985915493,-0.34827578780375784
101059,AXEL SPRINGER SE,0,Upper-Mid,47.00759518485182,23.015394898939732,32.61227501330457,Upper-Mid (Challenged),3.2927096256294237,4.681331077270164,7.249124385463192,41.187622505703544,6.950290800424151,0.8742941650981446,0.9883906749388984,3.2202951682647116,-0.08820577785865774
297222,NORMA GROUP SE,0,Upper-Mid,51.128688806425124,18.63793805065578,31.634238352963518,Upper-Mid (Challenged),3.8994785010455044,2.0382971286862306,4.822370856252529,57.06840895591767,7.064363126135201,2.0651249898844326,0.5566301522620161,1.9925658188556352,-0.7668518742448992
350278,VITESCO TECHNOLOGIES GROUP,0,Upper-Mid,51.85219377938242,18.058178463122992,31.575784589626764,Upper-Mid (Challenged),4.2911210454827176,-3.3809139690667416,3.5242386171641464,20.393796300307592,1.3992981848113328,1.2135632037661428,0.23582225651457228,2.65952372601971,0.908511592624763
100102,BILFINGER SE,0,Upper-Mid,40.59122568390231,25.20370184306685,31.358711379401033,Upper-Mid (Challenged),6.805254800057744,13.682834960412022,4.678908188585608,13.326054590570724,3.53151364764268,1.3571381600578682,0.24390806364824352,2.6623875778307324,0.5695337436079179
101937,DMG MORI AG,0,Upper-Mid,43.883268908931804,22.563110558770482,31.09117389883501,Upper-Mid (Challenged),9.317683459113244,12.006314886266532,10.603255679772431,51.98970384003828,6.0304099007731065,1.7026958942168635,0.02767517927049115,1.7923590157963738,0.00159940605292435
101942,HENKEL AG & CO KGAA,0,Upper-Mid,42.03533895412611,23.482644578829646,30.90372232894823,Upper-Mid (Challenged),8.55757507017892,9.235229155162894,13.98128416566293,53.631983693134444,11.553784860557768,1.2136648696226207,0.12157187557518866,1.6228142830848518,-0.5473890250484145
102250,HUGO BOSS AG,0,Upper-Mid,38.87551843962884,24.776551522251527,30.41613828920245,Upper-Mid (Challenged),9.53941932957754,14.959508665902344,8.37686939228746,70.28088506410788,12.929692950350665,1.5385203104977778,0.7059486801422873,2.650662381602442,-2.0756674726259097
320124,SCHAEFFLER AG,0,Upper-Mid,44.45170704981473,20.188592930907312,29.89383857847028,Upper-Mid (Challenged),3.603182030884417,-16.570529627687467,4.2335605893996044,26.98482515944579,2.7215746646140313,1.2773361136452497,1.4452018877818562,5.6030414263240695,-1.0002891525808892
328745,KNORR-BREMSE AKTIE,0,Upper-Mid,54.664148158854445,13.346396926794899,29.87349741961872,Upper-Mid (Challenged),8.414811732889536,14.614121510673234,10.117558779389695,50.96298149074537,10.18009004502251,1.6347721098702084,0.7257799671592775,3.1573070607553366,-1.5942353292564566
101161,GELSENWASSER AG,0,Upper-Mid,38.30758866822334,24.239474976934826,29.86672045345023,Upper-Mid (Challenged),1.3448575051725289,11.19709563389701,1.3521674942960675,12.23325728090189,1.1407864716145484,1.002422983731395,0.3052450558899398,2.862902455335817,-0.22518690042393547
17828,MERCEDES BENZ GROUP AG,0,Upper-Mid,66.25386740365886,0.7329352342763263,26.941308102029343,Upper-Mid (Challenged),4.749254745103959,11.019703103913631,8.64458700221163,38.52974710496312,9.406981056911686,1.3600486461924999,0.7933819163292848,2.86110661268556,0.0712214336077651
244398,TAKKT AG,0,Upper-Mid,46.09723449285292,14.066671049418344,26.878896426792174,Upper-Mid (Challenged),2.3869309973741046,-7.609128373745788,2.0902236373212872,39.27750862424849,7.783129214256228,1.3417112044536021,0.14071312194510588,1.7006646122542262,-0.986252473466895
100083,BEIERSDORF AG,0,Upper-Mid,33.80883527868239,21.43463586631191,26.3843156312601,Upper-Mid (Challenged),10.42195065713627,10.761061946902654,13.766497461928934,61.6751269035533,8.060913705583756,1.7426948051948052,0.0,1.535221238938053,-0.5141279617984581
241456,DEUTSCHE POST AG,0,Upper-Mid,43.31875797631084,14.512489917544025,26.034997141050752,Upper-Mid (Challenged),7.6164579606440075,14.004118858487791,6.321716199843204,15.742522509680946,6.872876725346257,0.951631949364697,0.7886353129071576,2.936788130962888,0.36101905440355436
100103,DEUTSCHE LUFTHANSA AG,0,Upper-Mid,28.179928724076625,19.33658923410637,22.873925030094473,Upper-Mid (Challenged),2.68638952648134,12.016981459019235,4.020484112090079,2.770444352555743,-0.019084576481440248,0.8332567284612634,0.9888234274822387,4.076589845780627,-0.5617290508643753
100022,BAYERISCHE MOTOREN WERKE AKT,0,Upper-Mid,52.52918504395046,3.098528263189917,22.87079097549414,Upper-Mid (Challenged),4.23520535460834,7.896874830742566,7.9638994240764145,44.69658659924146,-3.2581823289787892,1.0991914607305364,0.7232844066511401,2.9002004008016034,-0.10730136513996358
100737,VOLKSWAGEN AG,0,Upper-Mid,54.482660449804484,0.23871225326652415,21.93629153188171,Upper-Mid (Challenged),5.277727305045781,6.2267545832556195,10.288736385589669,41.581858952244836,-0.015708934995810952,1.1298937057395215,0.7518678618056546,3.471891559788035,0.1759738510613116
