gvkey,conm,cluster,proximity_score,profitability_score,liquidity_score,leverage_score,efficiency_score,cashflow_score,structure_score,relative_score,overall_score
200759,BIOTEST AG,1,27.669407505658572,79.88828298769874,33.532327171622256,57.73389455754128,73.06620300873755,95.58293372125185,93.70800785425295,56.04095797895484,43.77873950686794
202305,FRESENIUS SE & CO KGAA,3,58.96156804142949,74.34973969431053,90.62401316788002,75.87543937815559,74.14168325785967,90.09530390691157,93.21866193490403,47.9598270093136,57.16337158192841
202807,JUNGHEINRICH AG,3,80.5877382974495,91.50396548952267,86.36808062620919,96.2227308997912,96.35242841492001,88.79676944040452,98.47032988708312,50.67639180436865,74.61102576910145
203162,HORNBACH HOLDING AG & CO,2,45.000066682004864,52.993211098867974,90.38324688126562,74.91821572885323,76.94424561172877,81.32149404528202,84.26138768657272,53.384587043265995,47.63212730722018
203586,VTG AG,0,25.35875086291136,48.46805087896031,87.63111185220609,53.814435732505416,38.6560912128722,92.03274661363268,80.64011347561919,49.92025473026254,31.016967776137978
204820,FIELMANN GROUP AG,0,40.676830983277014,63.08885546629129,81.86232739525062,75.83381599412297,52.2532057419289,81.70176095418171,87.3675536156487,48.44442057590695,44.309865947270694
205865,PROSIEBENSAT.1 MEDIA SE,0,35.53979275693798,48.96194966851553,88.41692056781497,84.50703088960229,49.87895127161446,83.41655667787505,99.23210960372745,49.051383091018515,39.9408528161807
205934,FREENET AG,3,38.96380052309827,56.82845145302243,53.1474757536178,76.05151279738493,86.82601772339298,76.78351297642972,93.33320215622537,47.474308107604074,47.580264438091234
206703,SGL CARBON SE,1,53.979912739296545,65.67881672429027,85.8380819606831,66.63372098428036,94.85949550241692,90.15387172990721,95.88962757423987,49.23132097518871,55.62002486436725
207096,RHOEN-KLINIKUM AG,1,25.92131475197589,27.922483526593663,88.93928556041669,67.62301996286372,88.37254098429882,89.62772123277644,96.58079560983623,48.063698232782556,35.97120575004028
208821,SARTORIUS AG,0,38.136794658836834,51.76432806795837,61.266041624265014,94.14577638532253,61.77798781331059,87.76430196992561,94.65557853757957,48.624335448571436,44.28885928765525
209440,VOSSLOH AG,3,64.44684491847367,87.60387848486128,94.94423339549283,67.748270819577,93.70112741566902,90.52732532785026,91.94264313905946,49.049990468276576,64.12950985866978
210326,BLG-BREMER LAGERHAUS-GESELLS,2,0.273689661427767,83.24377874535107,99.61635842544972,1.79959196890578,73.6559057778424,67.15593270382895,1.3720873756034346,59.088846721754095,27.986576677208262
210332,CLAAS KG,1,48.71202297178638,61.07513067863134,72.06237060921796,74.29446022939801,75.69472011443142,98.14010870530083,97.44447649183702,48.37854208850914,50.483489364545335
210334,COMPUGROUP MEDICAL SE & CO,3,68.50895258557487,84.34692908565347,83.70058438225954,89.86513516565296,79.44047687598359,87.45706525473419,99.30926959028876,48.204253201323,65.17555189932348
210340,DILLINGER HUTTENWERKE,1,62.99950131011474,70.61541664736578,91.03660049757316,92.2269277780288,90.70228711383064,77.13804242545211,98.71899584084474,45.26405322063308,62.15091969839653
210359,EWE-ENERGIEVERSORGUNG WESER,3,49.272645872321995,62.187734122112495,89.78156244251046,79.61632286532497,71.32094076544648,73.4259543625744,95.50023785730957,51.21022607720536,50.806378574700766
212782,FRESENIUS MEDICAL CARE AG,3,65.6136310968485,79.84250856248804,92.88275851359474,79.08983357160886,80.38611625816549,88.62005110568792,93.76418511715596,48.6252987954399,62.18085494712271
213034,GRAMMER AG,2,49.033870916847285,75.2660570782815,85.97894983108732,57.57929512668646,86.21019459970589,80.470184440077,84.00362734400642,48.20454843995948,53.356218485019745
213037,INDUS HOLDING AG,3,54.28177227871595,62.071722137852944,74.40766367646505,90.49738133340705,83.38255540265664,88.93315995618087,95.90693025699434,51.64644263248302,55.68417478279617
214700,STADA ARZNEIMITTEL AG,0,39.5929453142315,62.077458837579734,99.65371816600178,77.87263737474169,50.10921120243764,74.10580857424462,96.44128964321852,48.15894600920582,43.556315311048365
214759,HEIDELBERGER DRUCKMASCHINEN,2,41.88607289432122,44.734535091514296,90.9320268400186,80.73810728484511,84.721811277624,85.11920671478565,95.7166681302221,51.91315459325708,46.48341859615945
216524,ENBW ENERGIE BADEN,3,35.40393973172034,60.86893871275326,87.45435776843802,56.844999573483875,67.98568119801543,58.681767621961626,78.01188613979426,53.08564284603311,42.217715772289495
218000,JENOPTIK AG,1,64.42670912599525,77.20140209646084,72.44215182674284,96.56334727533529,88.7575089330522,92.0119529223306,99.5034328170174,50.00528499633319,64.18092513718162
220293,ZUBLIN ANLAGEN & PROJEKTE AG,2,48.42666553524521,82.16299634453554,78.9849208680884,84.87034109937856,54.22560734892797,85.32306161775513,93.25578540468493,49.51076471817863,52.42414069528225
220295,ELRINGKLINGER AG,2,45.59927794611186,88.78011208197826,87.85677708451647,88.97203602993709,82.9441941879031,48.70135265257938,86.97068013919811,52.296144927511634,57.334566326019576
